Chinese,English,Finnish,Spanish
你,you,N/A,N/A
我,i,N/A,N/A
要,want,N/A,N/A
現在,now,N/A,N/A
藥,medicine,N/A,N/A
在,exist,N/A,N/A
我們,we,N/A,N/A
雨,rain,N/A,N/A
寶寶,baby,N/A,N/A
和,and,N/A,N/A
爸,father,N/A,N/A
魚,fish,N/A,N/A
沒有,not-have,N/A,N/A
喝,drink,N/A,N/A
媽,mother,N/A,N/A
天,sky,N/A,N/A
火,fire,N/A,N/A
冰,ice,N/A,N/A
熱,hot,N/A,N/A
怕,fear,N/A,N/A
冷,cold,N/A,N/A
世界,world,N/A,N/A
喂,hello,N/A,N/A
你好,hello,hei,N/A
拜拜,bye-bye,N/A,N/A
晚安,good-night,N/A,N/A
你好嗎,how-are-you,N/A,N/A
早,morning,N/A,N/A
很好,very-good,N/A,N/A
救命,help,N/A,N/A
為什麼,why,miksi,N/A
一千,1000,N/A,N/A
請,please,N/A,N/A
喜歡,like,N/A,N/A
沒關係,it-doesn't-matter,N/A,N/A
再見,goodbye,N/A,N/A
廁所,restroom,N/A,N/A
還沒,not-yet,N/A,N/A
吃飽了,to-be-full,N/A,N/A
不好意思,excuse-me,N/A,N/A
叫,to-be-called,N/A,N/A
對不起,i'm-sorry,N/A,N/A
什麼,what,N/A,N/A
一百,100,N/A,N/A
你是哪裡人,where-are-you-from,mistä-olet-kotoisin,N/A
去,go,N/A,N/A
不客氣,you're-welcome,N/A,N/A
多少錢,how-much,N/A,N/A
愛,love,N/A,N/A
叉子,fork,N/A,N/A
誰,who,N/A,N/A
水,water,N/A,N/A
筷子,chopsticks,N/A,N/A
便宜,cheap,N/A,N/A
什麼時候,what-time,N/A,N/A
菜單,menu,N/A,N/A
真的,really,N/A,N/A
等一下,wait-a-minute,N/A,N/A
壞,bad,N/A,N/A
不會吧,no-way,N/A,N/A
漂亮,pretty,N/A,N/A
慢,slow,N/A,N/A
真的嗎,really?,N/A,N/A
不知道,i-don't-know,N/A,N/A
中文,chinese,N/A,N/A
聽不懂,don't-understand,N/A,N/A
祈禱,pray,N/A,N/A
紀錄,record,N/A,N/A
知識,knowledge,N/A,N/A
